user_id,is_paid,registration_days,source_channel_encoded,has_invitor,is_mobile_user,has_phone,has_email,contact_methods_count,learning_sessions,learning_days,avg_sessions_per_day,total_duration,avg_session_duration,avg_score,max_score,score_std,word_accuracy,sentence_accuracy,total_practices,course_completion_rate,immersive_ratio,total_visits,active_days,visit_frequency,unique_pages,unique_events,is_multi_device,primary_device_encoded,payment_page_visits
2346141,0,-63,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,36,1,36.0,13,2,0,1,0
2903197,0,-172,0,0,0,0,0,0,1,1,1.0,157,157.0,33.0,33,0.0,0.0,0.0,2,0.33,0.4,0,0,0.0,0,0,0,0,0
3067039,0,-184,0,0,1,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2346148,0,-163,0,0,0,0,1,1,2,1,2.0,476,238.0,77.5,100,31.81980515339464,0.0,0.0,4,0.775,0.8,0,0,0.0,0,0,0,0,0
3067045,0,-132,0,0,0,0,0,0,12,8,1.5,4564,380.3333333333333,76.33333333333333,100,24.1598213920751,0.0,0.0,24,0.7633333333333333,0.8,839,6,139.83333333333334,35,2,1,2,0
2149542,0,-177,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
2215082,0,-163,0,0,0,0,0,0,1,1,1.0,187,187.0,51.0,51,0.0,0.0,0.0,2,0.51,0.8,0,0,0.0,0,0,0,0,0
2084015,0,-49,0,0,0,1,0,1,1,1,1.0,52,52.0,0.0,0,0.0,0.0,0.0,2,0.0,0.4,168,1,168.0,10,2,0,2,0
2215093,0,10,0,0,0,1,0,1,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,22,1,22.0,8,2,0,1,0
2870457,0,-172,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.4,0,0,0.0,0,0,0,0,0
